beat_idx,RRI_ms,SBP_mmHg,PAT_ms
1,998.0,121.2463,313.0
2,996.0,122.1771,309.0
3,958.0,122.2534,312.0
4,966.0,122.2076,313.0
5,937.999999999999,123.1537,309.0
6,958.0,123.0621,314.0
7,968.0,124.3744,310.0
8,949.0,123.1689,313.0
9,980.000000000001,123.1537,320.000000000001
10,997.0,124.1913,317.0
11,974.0,121.994,317.0
12,987.0,122.1313,309.0
13,978.999999999999,121.2463,319.0
14,1009.0,120.285,318.0
15,1016.0,121.3226,315.0
16,1004.0,120.2545,312.0
17,1022.0,121.17,314.999999999998
18,1013.0,121.1853,310.0
19,1028.0,120.2087,316.0
20,1029.0,122.2382,304.0
21,1016.0,121.2616,313.0
22,1044.0,123.1384,310.0
23,1022.0,122.1008,313.0
24,1043.0,122.2382,311.0
25,1017.0,122.1771,318.0
26,998.999999999999,121.2463,311.0
27,1013.0,123.23,311.0
28,957.999999999999,121.1853,308.0
29,978.000000000002,123.1689,324.0
30,986.0,124.2828,317.0
31,957.999999999999,123.1842,314.0
32,984.999999999999,124.2828,310.0
33,980.999999999998,124.0692,312.0
34,986.000000000004,121.3074,313.0
35,1017.0,124.0692,315.0
36,993.000000000002,122.2076,312.0
37,1021.0,122.3297,306.0
38,1002.0,122.2382,308.0
39,1030.0,121.2006,308.0
40,1032.99999999999,122.2229,318.0
41,1019.0,120.1782,311.0
42,1038.0,122.2534,316.0
43,1010.0,120.3156,317.0
44,1045.0,122.3145,317.0
45,1046.0,123.3673,316.0
46,1037.0,122.4213,320.0
47,1044.0,123.2605,321.0
48,1003.0,123.2605,313.0
49,1032.0,122.1466,316.0
50,1017.0,122.1466,315.0
51,1013.0,121.2463,317.0
52,1056.0,123.1079,310.0
53,1017.0,124.2218,313.0
54,1046.0,123.2758,317.0
55,1110.0,123.291,319.0
56,1074.0,122.2076,312.0
57,1040.00000000001,123.0927,313.0
58,1038.0,121.2769,306.0
59,978.000000000002,119.0948,316.0
60,957.999999999999,118.2556,320.0
61,953.000000000003,119.2169,320.0
62,939.999999999998,118.3167,321.0
63,945.999999999998,124.1913,310.0
64,927.999999999997,124.115,308.0
65,849.000000000004,124.2523,316.999999999993
66,856.999999999999,122.0856,327.0
67,855.999999999994,123.1689,329.0
68,876.000000000005,126.4648,313.0
69,912.000000000006,124.2218,305.0
70,894.999999999996,122.467,319.0
